ENB_ID,SITE_NAME,NE_NAME,NE_ID,NE_TYPE,NE_VERSION,NODE_CONN_STATE,NODE_OPER_STATE,NODE_ADMIN_SATAE,CELL_ID,CELL_IDENTITY,CELL_USER_LABEL,PCI,CELL_ADMIN_STATE,CELL_OPER_STATE,EARFCN_DL,EARFCN_UL,BAND_ID,BAND_NAME,BANDWIDTH,OUTPUT_POWER,DUPLEX,TX,RX,CELL_PATH_TYPE,PRACH_CONFIG_INDEX,RSI,TAC,EAI,ZCZC,AZIMUTH,HEIGHT,LAT,LONG,RRH_CODE,RRU_SERIAL,RRH_TYPE,MCC,MNC,COLO_NODE_ID,OAM_IP,DSP_INDEX,DSP_CELL_INDEX,GCB_CARD_ID,PRIMARY_CPRI_PORT_ID,UNIT_ID,ADDITIONAL_GCB_CARD_ID,ADDITIONAL_CPRI_PORT_ID,ADDITIONAL_RU_PORT_ID,CBSD_INDEX,GRANT_INDEX,CALL_SIGN,CBSD_CATEGORY,CBSD_MODE,CBRS_FCC_ID,CBRS_USER_ID,CARRIER_ID,SECTOR_ID,CELL_TECH,USM,enb_id,gnb_id,Radio_Port,gnb_available,Radio_Power_State,Radio_Total_Power_W
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,1,207614465,CO-KARVAL-S-810994-1,345,unlocked,enabled,900,18900,2,1900mhz,10,490,fdd,4,4,select-abcd,35,0,100,0,14,0,0.00m,N 038:44:05.723,W 103:32:33.792,rf4486-251,S61V313769,rrh-cell,310,450,NVGNB_510994,10.220.52.243,0,0,2,0,0,,,,,,,,,,,,1,,usm1,810994,510994,0_2_0,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,2,207614466,CO-KARVAL-S-810994-2,346,unlocked,enabled,900,18900,2,1900mhz,10,490,fdd,4,4,select-abcd,35,22,100,0,14,90,0.00m,N 038:44:05.723,W 103:32:33.792,rf4486-251,S61V313770,rrh-cell,310,450,NVGNB_510994,10.220.52.243,0,1,2,2,0,,,,,,,,,,,,2,,usm1,810994,510994,0_2_2,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,21,207614485,CO-KARVAL-S-810994-21,345,unlocked,enabled,5090,23090,12,700mhz,5,460,fdd,4,4,select-abcd,35,0,100,0,14,-1,0.00m,N 038:44:05.723,W 103:32:33.792,rf4435d-713,S61V331550,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,0,0,0,0,,,,,,,,,,,,1,,usm1,810994,510994,0_0_0,Yes,Underpowered,79.62143411
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,22,207614486,CO-KARVAL-S-810994-22,346,unlocked,enabled,5090,23090,12,700mhz,5,460,fdd,4,4,select-abcd,35,22,100,0,14,90,0.00m,N 038:44:05.723,W 103:32:33.792,rf4435d-713,S61V331551,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,1,0,1,0,,,,,,,,,,,,2,,usm1,810994,510994,0_0_1,Yes,Underpowered,79.62143411
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,23,207614487,CO-KARVAL-S-810994-23,348,unlocked,enabled,5090,23090,12,700mhz,5,460,fdd,4,4,select-abcd,35,44,100,0,14,180,0.00m,N 038:44:05.723,W 103:32:33.792,rf4435d-713,S61V331553,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,2,0,2,0,,,,,,,,,,,,3,,usm1,810994,510994,0_0_2,Yes,Underpowered,79.62143411
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,24,207614488,CO-KARVAL-S-810994-24,347,unlocked,enabled,5090,23090,12,700mhz,5,460,fdd,4,4,select-abcd,35,66,100,0,14,270,0.00m,N 038:44:05.723,W 103:32:33.792,rf4435d-713,S61V331552,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,3,0,3,0,,,,,,,,,,,,4,,usm1,810994,510994,0_0_3,Yes,Underpowered,79.62143411
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,3,207614467,CO-KARVAL-S-810994-3,348,unlocked,enabled,900,18900,2,1900mhz,10,490,fdd,4,4,select-abcd,35,44,100,0,14,180,0.00m,N 038:44:05.723,W 103:32:33.792,rf4486-251,S61V313772,rrh-cell,310,450,NVGNB_510994,10.220.52.243,0,2,2,4,0,,,,,,,,,,,,3,,usm1,810994,510994,0_2_4,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,31,207614495,CO-KARVAL-S-810994-31,345,unlocked,enabled,66961,132497,66,2100mhz,15,490,fdd,4,4,select-abcd,35,0,100,0,14,0,0.00m,N 038:44:05.723,W 103:32:33.792,rf4494-661,S61V313903,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,0,1,0,0,,,,,,,,,,,,1,,usm1,810994,510994,0_1_0,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,32,207614496,CO-KARVAL-S-810994-32,346,unlocked,enabled,66961,132497,66,2100mhz,15,490,fdd,4,4,select-abcd,35,22,100,0,14,90,0.00m,N 038:44:05.723,W 103:32:33.792,rf4494-661,S61V313904,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,1,1,2,0,,,,,,,,,,,,2,,usm1,810994,510994,0_1_2,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,33,207614497,CO-KARVAL-S-810994-33,348,unlocked,enabled,66961,132497,66,2100mhz,15,490,fdd,4,4,select-abcd,35,44,100,0,14,180,0.00m,N 038:44:05.723,W 103:32:33.792,rf4494-661,S61V313905,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,2,1,4,0,,,,,,,,,,,,3,,usm1,810994,510994,0_1_4,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,34,207614498,CO-KARVAL-S-810994-34,347,unlocked,enabled,66961,132497,66,2100mhz,15,490,fdd,4,4,select-abcd,35,66,100,0,14,270,0.00m,N 038:44:05.723,W 103:32:33.792,rf4494-661,S61V313902,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,3,1,6,0,,,,,,,,,,,,4,,usm1,810994,510994,0_1_6,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,4,207614468,CO-KARVAL-S-810994-4,347,unlocked,enabled,900,18900,2,1900mhz,10,490,fdd,4,4,select-abcd,35,66,100,0,14,270,0.00m,N 038:44:05.723,W 103:32:33.792,rf4486-251,S61V313773,rrh-cell,310,450,NVGNB_510994,10.220.52.243,0,3,2,6,0,,,,,,,,,,,,4,,usm1,810994,510994,0_2_6,,Underpowered,79.43282347
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,41,207614505,CO-KARVAL-S-810994-41,345,unlocked,enabled,2459,20459,5,850mhz,10,460,fdd,4,4,select-efgh,35,0,100,0,14,0,0.00m,N 038:44:05.723,W 103:32:33.792,rf4461d-132,S51V407806,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,0,2,8,0,,,,,,,,,,,,1,,usm1,810994,510994,0_2_8,,Underpowered,39.81071706
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,42,207614506,CO-KARVAL-S-810994-42,346,unlocked,enabled,2459,20459,5,850mhz,10,460,fdd,4,4,select-efgh,35,22,100,0,14,90,0.00m,N 038:44:05.723,W 103:32:33.792,rf4461d-132,S51V407807,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,1,2,9,0,,,,,,,,,,,,2,,usm1,810994,510994,0_2_9,,Underpowered,39.81071706
810994,CO-KARVAL,CO-KARVAL-Q-910994,eNB_810994,macro,v24_B_0-0230,connected,enabled,unlocked,43,207614507,CO-KARVAL-S-810994-43,348,unlocked,enabled,2459,20459,5,850mhz,10,460,fdd,4,4,select-efgh,35,44,100,0,14,180,0.00m,N 038:44:05.723,W 103:32:33.792,rf4461d-132,S51V407808,rrh-cell,310,450,NVGNB_510994,10.220.52.243,1,2,2,10,0,,,,,,,,,,,,3,,usm1,810994,510994,0_2_10,,Underpowered,39.81071706
